Id,Refreshing,Runner,Baker,Counter,Regulator,Has Python,Has Whiteboard,Has Reached Balmers Peak,DNE,Type of Activity Id,Type of Movie Id,Type of GPU Id,Type of Laptop Id,Type of Toaster Id,Type of Deck Id,Type of Whale Id,Type of Star Id,Type of Dog Id,Status
2908,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
2950,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.2,0.3,0.1,0.1,0.4,0.48125
2997,0,0,0,0,0,1,1,0,0,0.3,0.2,0.3,0.5,0.3,0.2,0.5,0.2,0.4,0.5566666666666666
3001,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.41304537561855126
3023,0,0,0,0,0,0,0,0,0,0.3,0.2,0.2,0.4,0.3,0.2,0.1,0.2,0.1,0.3333333333333333
3046,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
3050,0,0,0,0,0,1,1,0,0,0.3,0.3,0.2,0.4,0.2,0.3,0.5,0.3,0.4,0.675
3140,0,0,0,0,0,1,0,1,0,0.3,0.6,0.2,0.5,0.3,0.2,0.2,0.2,0.4,0.4764705882352941
3215,0,0,0,0,0,1,1,0,0,0.2,0.2,0.2,0.6,0.3,0.3,0.1,0.2,0.1,0.8738488701314788
3487,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
3496,0,0,0,0,0,1,1,1,1,0.3,0.4,0.2,0.3,0.3,0.2,0.2,0.2,0.4,0.3
3524,0,0,0,0,0,1,0,0,1,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.3,0.7169372294372295
4138,0,0,0,0,0,0,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1207358429674725
4297,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
4316,0,0,0,0,0,1,1,1,0,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.4,0.3563888888888889
5009,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
5148,0,0,0,0,0,1,1,0,0,0.3,0.3,0.2,0.5,0.4,0.2,0.5,0.2,0.4,0.45
5308,1,1,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.007692307692307693
5475,0,0,0,0,0,0,0,0,0,0.3,0.6,0.4,0.3,0.3,0.2,0.5,0.2,0.4,0.2
5670,0,0,0,0,0,1,0,1,1,0.4,0.1,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0.2
5835,0,0,0,0,0,1,1,1,0,0.4,0.1,0.2,0.6,0.1,0.3,0.5,0.1,0.4,0.38333333333333336
5845,0,0,0,0,0,1,0,0,1,0.3,0.2,0.2,0.4,0.3,0.2,0.2,0.2,0.4,0.0
5871,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5718159859464207
6080,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.6,0.4,0.2,0.5,0.2,0.4,0.7
6118,0,0,0,0,0,0,0,0,0,0.3,0.2,0.2,0.5,0.3,0.2,0.5,0.2,0.4,0.4
6210,0,0,0,0,0,1,1,0,1,0.4,0.1,0.5,0.3,0.1,0.2,0.2,0.1,0.3,0.2
6247,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
6290,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.41304537561855126
6318,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.4,0.2,0.1,0.1,0.4,0.3207936507936508
6415,0,0,0,0,0,1,0,0,1,0.1,0.1,0.4,0.1,0.2,0.2,0.1,0.1,0.4,0.0
6516,0,0,0,0,0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.3416666666666667
6670,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.3,0.4,0.4
6751,0,1,0,0,0,1,1,0,0,0.3,0.3,0.4,0.4,0.3,0.3,0.1,0.3,0.1,0.36666666666666664
6857,0,0,0,0,0,1,0,0,1,0.2,0.2,0.2,0.5,0.4,0.2,0.2,0.2,0.4,0.5
6918,0,1,0,0,0,1,1,0,0,0.3,0.6,0.2,0.6,0.3,0.2,0.5,0.2,0.4,0.5
6936,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
7071,0,0,0,0,0,1,0,1,0,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.4,0.33333333333333337
7214,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.4,0.44333333333333336
7320,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.41304537561855126
7449,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
7462,0,0,0,0,1,1,1,1,0,0.3,0.1,0.2,0.5,0.1,0.2,0.5,0.1,0.4,0.3
7477,0,0,0,0,0,1,0,0,0,0.3,0.6,0.2,0.4,0.2,0.2,0.5,0.3,0.4,0.2
7726,0,0,0,0,0,1,1,0,0,0.3,0.6,0.2,0.4,0.3,0.2,0.5,0.2,0.4,0.5166666666666667
7754,0,0,0,0,0,1,0,0,1,0.3,0.6,0.2,0.4,0.2,0.2,0.5,0.6,0.4,0.4
7870,0,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.14444444444444443
7888,0,0,0,0,0,0,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1207358429674725
7897,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
8000,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.12222222222222223
8041,0,0,0,0,0,1,0,1,1,0.4,0.1,0.2,0.6,0.1,0.2,0.5,0.1,0.4,0.02
8052,0,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.8
8096,0,0,0,0,0,1,0,0,0,0.3,0.3,0.2,0.4,0.3,0.2,0.5,0.2,0.4,0.3
8250,0,0,0,0,0,0,0,0,0,0.2,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.4,0.3
8365,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.41304537561855126
8408,0,0,0,0,0,1,1,0,0,0.3,0.6,0.2,0.3,0.3,0.3,0.1,0.2,0.1,0.31666666666666665
8425,0,0,0,0,0,1,1,0,0,0.2,0.2,0.3,0.3,0.3,0.2,0.5,0.2,0.4,0.5
8517,0,0,0,0,0,1,1,1,0,0.2,0.1,0.4,0.3,0.3,0.2,0.5,0.2,0.4,0.75
8593,0,0,0,0,0,1,1,0,0,0.3,0.4,0.2,0.6,0.3,0.2,0.5,0.3,0.4,0.7666666666666667
8733,0,0,0,0,0,1,1,0,1,0.3,0.3,0.2,0.5,0.3,0.2,0.1,0.2,0.1,0.525
10020,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.2,0.2,0.5,0.5,0.4,0.2
10046,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.41304537561855126
10091,0,0,0,0,0,1,1,0,0,0.4,0.1,0.2,0.4,0.1,0.2,0.5,0.1,0.4,0.5083333333333334
10231,0,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.4,0.1,0.2,0.1,0.1,0.1,0.2
10385,0,0,0,0,0,1,1,1,0,0.4,0.1,0.3,0.4,0.1,0.2,0.1,0.1,0.1,0.7916666666666666
10416,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.3,0.2,0.4,0.2,0.4,0.5833333333333333
10536,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
10590,0,0,0,0,0,1,1,0,1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.0
10603,0,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.6,0.1,0.3,0.1,0.1,0.1,0.2
10608,0,0,0,0,0,1,1,1,0,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.025
10791,0,0,0,0,0,1,0,1,0,0.3,0.2,0.2,0.5,0.3,0.2,0.5,0.2,0.4,0.2583333333333333
10865,0,0,0,0,0,0,0,0,0,0.3,0.2,0.3,0.4,0.2,0.2,0.1,0.2,0.1,0.22000000000000003
10929,0,1,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.2,0.1,0.0
10985,0,0,0,0,0,0,1,1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.029264705882352943
11085,0,0,0,0,0,0,0,0,0,0.3,0.2,0.2,0.4,0.3,0.2,0.5,0.2,0.4,0.0
11173,0,0,0,0,0,1,1,0,0,0.3,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.07695289206917114
11310,0,0,0,0,0,1,1,0,0,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.15445289206917115
11643,0,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.1,0.1,0.3,0.1,0.1,0.1,0.6044444444444446
13035,0,0,0,0,0,1,1,1,1,0.2,0.2,0.2,0.5,0.3,0.2,0.1,0.2,0.1,0.15
13037,0,0,0,0,0,1,1,0,0,0.4,0.1,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0.825
13041,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
13140,0,0,0,0,0,1,0,1,0,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.4,0.0
13175,0,0,0,0,0,1,0,1,0,0.3,0.6,0.2,0.4,0.3,0.3,0.3,0.2,0.4,0.7
13348,0,0,0,0,0,1,1,0,0,0.3,0.2,0.2,0.5,0.3,0.2,0.1,0.2,0.1,0.4074453324453325
13452,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
13478,0,0,0,0,0,1,0,1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2681818181818182
13498,0,1,0,0,0,0,0,0,0,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4,0.2
13623,0,1,0,0,0,0,0,0,0,0.3,0.5,0.3,0.3,0.3,0.3,0.1,0.2,0.1,0.3
13642,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
13704,0,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0.1,0.1,0.3,0.1,0.1,0.1,0.5077777777777778
13941,0,0,0,0,0,1,1,0,0,0.4,0.6,0.2,0.3,0.2,0.2,0.5,0.2,0.4,0.875
13980,0,0,0,0,0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.3416666666666667
13985,0,0,0,0,0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.40285714285714286
14023,0,0,0,0,0,1,1,1,0,0.3,0.3,0.2,0.4,0.3,0.4,0.5,0.2,0.4,0.8
14143,0,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.4,0.3,0.3,0.1,0.2,0.1,0.15454545454545454
14155,0,0,0,0,0,1,1,0,0,0.3,0.3,0.2,0.3,0.2,0.3,0.1,0.3,0.1,0.55
14268,0,0,0,0,0,1,0,1,0,0.1,0.1,0.3,0.1,0.2,0.2,0.1,0.1,0.1,0.1
14377,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
14455,0,0,0,0,0,0,0,0,0,0.3,0.5,0.2,0.4,0.2,0.2,0.5,0.3,0.4,0.3
14553,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.4007142857142857
14559,0,0,0,0,0,1,1,1,0,0.3,0.3,0.2,0.5,0.3,0.3,0.3,0.2,0.4,0.3
14829,0,0,0,0,0,1,1,0,0,0.3,0.6,0.5,0.4,0.3,0.4,0.3,0.2,0.4,0.5
14983,0,0,0,0,0,1,1,0,0,0.4,0.1,0.2,0.3,0.1,0.3,0.5,0.1,0.4,0.9377591036414566
15277,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.1,0.04
15356,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
15407,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5718159859464207
16009,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
16079,0,0,0,0,1,0,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2015050737367033
16197,0,0,0,0,0,0,0,0,0,0.3,0.2,0.3,0.4,0.3,0.2,0.3,0.2,0.4,0.0
16204,0,0,0,0,0,1,0,0,0,0.4,0.1,0.2,0.3,0.1,0.3,0.5,0.1,0.4,0.6728571428571428
16360,0,0,0,0,0,0,1,1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.029264705882352943
16590,0,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.4,0.1,0.2,0.1,0.1,0.1,0.2
16668,0,0,0,0,0,1,1,1,0,0.4,0.1,0.2,0.2,0.1,0.2,0.5,0.1,0.3,0.3
16678,0,0,0,0,0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.3416666666666667
16686,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
16691,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.3,0.2,0.2,0.2,0.4,0.16666666666666669
16783,0,0,0,0,0,1,1,1,0,0.3,0.6,0.2,0.4,0.3,0.2,0.1,0.2,0.1,0.6599999999999999
16798,0,0,0,0,0,1,1,1,0,0.3,0.6,0.2,0.6,0.3,0.2,0.5,0.3,0.4,0.8
16835,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
16860,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
16976,0,0,0,0,0,1,0,1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2
16986,0,0,0,0,0,1,1,1,0,0.4,0.1,0.2,0.3,0.1,0.2,0.5,0.1,0.4,0.0
17007,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.16808080808080808
17058,0,0,0,0,0,1,1,0,0,0.3,0.3,0.2,0.4,0.3,0.4,0.1,0.2,0.1,0.0
17079,0,0,0,0,0,1,1,0,0,0.3,0.3,0.2,0.4,0.2,0.2,0.5,0.3,0.4,0.2
17129,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.41304537561855126
17140,0,0,0,0,0,0,0,0,0,0.3,0.6,0.3,0.3,0.2,0.2,0.5,0.2,0.4,0.1
17358,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
17463,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
17858,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.1,0.04
17868,0,0,0,0,0,0,0,0,0,0.3,0.6,0.2,0.4,0.3,0.4,0.5,0.2,0.4,0.1
17935,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.41304537561855126
18005,0,0,0,0,0,0,1,0,0,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.0125
18126,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.41304537561855126
18178,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
18217,0,0,0,0,0,1,0,0,1,0.1,0.1,0.2,0.1,0.4,0.2,0.1,0.1,0.3,0.30095238095238097
18266,0,0,0,0,0,1,1,0,0,0.3,0.2,0.3,0.4,0.3,0.3,0.2,0.2,0.4,0.6633333333333333
18313,0,0,0,0,0,0,0,0,0,0.3,0.2,0.4,0.3,0.3,0.2,0.2,0.2,0.4,0.2
18387,0,0,0,0,0,1,1,0,0,0.3,0.5,0.2,0.4,0.3,0.4,0.1,0.2,0.1,0.33499999999999996
18637,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
18826,0,0,0,0,0,1,0,1,1,0.2,0.2,0.2,0.4,0.3,0.3,0.1,0.2,0.1,0.1
19396,0,0,0,0,0,1,0,0,1,0.4,0.1,0.2,0.5,0.1,0.2,0.5,0.1,0.4,0.2
19475,0,0,0,0,0,1,1,0,0,0.4,0.1,0.2,0.5,0.1,0.2,0.1,0.1,0.1,0.625
19537,0,1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.3812741469999534
19596,0,1,0,0,0,1,0,1,0,0.3,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0.1,0.4
19789,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
19935,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.4,0.3,0.3,0.5,0.2,0.4,0.1
20472,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.2,0.4,0.1,0.4,0.1,0.19696969696969696
20787,1,0,0,0,0,1,1,0,0,0.3,0.6,0.3,0.4,0.3,0.2,0.1,0.2,0.1,0.5
20989,0,0,0,0,0,1,0,0,1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.05710922122560054
21335,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.13169413919413916
21572,0,0,0,0,0,1,1,0,0,0.1,0.1,0.2,0.1,0.4,0.2,0.1,0.1,0.1,0.0
21624,0,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.4,0.1,0.2,0.1,0.1,0.1,0.2
22090,0,0,0,0,0,1,1,0,1,0.3,0.3,0.2,0.5,0.3,0.2,0.1,0.2,0.1,0.525
22333,0,0,0,0,0,1,1,1,0,0.3,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.1,0.2
22449,0,0,0,0,0,1,1,1,0,0.3,0.5,0.2,0.4,0.3,0.3,0.5,0.2,0.4,0.65
22471,0,0,0,0,0,1,0,1,0,0.2,0.2,0.2,0.4,0.3,0.3,0.2,0.2,0.4,0.4
22875,0,0,0,0,0,1,1,0,0,0.1,0.1,0.2,0.1,0.4,0.2,0.1,0.1,0.1,0.0
22998,0,0,0,0,0,1,0,0,1,0.1,0.1,0.2,0.1,0.4,0.2,0.1,0.1,0.3,0.30095238095238097
23551,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
23651,0,0,0,0,0,1,1,1,0,0.4,0.1,0.2,0.2,0.1,0.3,0.1,0.1,0.1,0.1
23696,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.13169413919413916
23714,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.41304537561855126
23928,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
23940,0,0,0,0,0,1,1,0,0,0.4,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1
24142,0,0,0,0,0,1,1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7107954545454545
24549,0,0,0,0,0,0,0,0,0,0.3,0.6,0.2,0.5,0.4,0.2,0.1,0.2,0.1,0.5
24723,0,0,0,0,0,1,1,0,0,0.4,0.1,0.2,0.3,0.1,0.2,0.5,0.1,0.4,0.125
24795,0,0,0,0,0,0,0,0,0,0.3,0.2,0.2,0.3,0.2,0.2,0.5,0.2,0.4,0.25
24913,0,0,0,0,0,1,1,0,0,0.3,0.3,0.2,0.3,0.2,0.2,0.5,0.2,0.4,1.0
25299,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.4101489340281669
25388,0,0,0,0,0,0,0,0,0,0.4,0.1,0.3,0.3,0.1,0.2,0.4,0.1,0.3,0.0
25440,0,0,0,0,0,1,1,1,0,0.3,0.4,0.4,0.4,0.3,0.2,0.1,0.2,0.1,0.8
